agents,private_accuracy,shared_accuracy,private_dominant,public_dominant,contrarian,discovery,action_quality,expected_distinct_actions,weak_equilibrium,strict_equilibrium,planner_optimal
3,3/4,3/4,2,0,1,499/512,67/96,3593/2048,False,False,False
3,3/4,3/4,2,1,0,63/64,3/4,421/256,True,False,True
3,3/4,3/4,3,0,0,63/64,3/4,421/256,True,False,True
3,3/4,5/6,0,0,3,2689/3072,31/48,421/256,False,False,False
3,3/4,5/6,0,1,2,335/384,17/24,203/128,False,False,False
3,3/4,5/6,0,2,1,41/48,37/48,65/48,False,False,False
3,3/4,5/6,0,3,0,5/6,5/6,1,False,False,False
3,3/4,5/6,1,0,2,489/512,49/72,1759/1024,False,False,False
3,3/4,5/6,1,1,1,185/192,107/144,317/192,False,False,False
3,3/4,5/6,1,2,0,23/24,29/36,65/48,True,False,False
3,3/4,5/6,2,0,1,751/768,103/144,1759/1024,False,False,False
3,3/4,5/6,2,1,0,95/96,7/9,203/128,True,False,True
3,3/4,5/6,3,0,0,63/64,3/4,421/256,False,False,False
3,5/6,1/3,0,0,3,419/864,1/3,419/288,False,False,False
3,5/6,1/3,0,1,2,95/216,1/3,67/36,False,False,False
3,5/6,1/3,0,2,1,7/18,1/3,5/3,False,False,False
3,5/6,1/3,0,3,0,1/3,1/3,1,False,False,False
3,5/6,1/3,1,0,2,391/432,1/2,67/36,False,False,False
3,5/6,1/3,1,1,1,97/108,1/2,161/72,False,False,False
3,5/6,1/3,1,2,0,8/9,1/2,5/3,False,False,False
3,5/6,1/3,2,0,1,53/54,2/3,67/36,False,False,False
3,5/6,1/3,2,1,0,53/54,2/3,67/36,False,False,False
3,5/6,1/3,3,0,0,215/216,5/6,419/288,True,True,True
3,5/6,1/2,0,0,3,2117/3456,11/24,419/288,False,False,False
3,5/6,1/2,0,1,2,167/288,17/36,497/288,False,False,False
3,5/6,1/2,0,2,1,13/24,35/72,37/24,False,False,False
3,5/6,1/2,0,3,0,1/2,1/2,1,False,False,False
3,5/6,1/2,1,0,2,1603/1728,7/12,2027/1152,False,False,False
3,5/6,1/2,1,1,1,133/144,43/72,289/144,False,False,False
3,5/6,1/2,1,2,0,11/12,11/18,37/24,False,False,False
3,5/6,1/2,2,0,1,851/864,17/24,2027/1152,False,False,False
3,5/6,1/2,2,1,0,71/72,13/18,497/288,False,False,False
3,5/6,1/2,3,0,0,215/216,5/6,419/288,True,True,True
3,5/6,2/3,0,0,3,1279/1728,7/12,419/288,False,False,False
3,5/6,2/3,0,1,2,311/432,11/18,229/144,False,False,False
3,5/6,2/3,0,2,1,25/36,23/36,17/12,False,False,False
3,5/6,2/3,0,3,0,2/3,2/3,1,False,False,False
3,5/6,2/3,1,0,2,821/864,2/3,955/576,False,False,False
3,5/6,2/3,1,1,1,205/216,25/36,16/9,False,False,False
3,5/6,2/3,1,2,0,17/18,13/18,17/12,False,False,False
3,5/6,2/3,2,0,1,427/432,3/4,955/576,False,False,False
3,5/6,2/3,2,1,0,107/108,7/9,229/144,False,False,False
3,5/6,2/3,3,0,0,215/216,5/6,419/288,True,True,True
3,5/6,3/4,0,0,3,5557/6912,31/48,419/288,False,False,False
3,5/6,3/4,0,1,2,455/576,49/72,877/576,False,False,False
3,5/6,3/4,0,2,1,37/48,103/144,65/48,False,False,False
3,5/6,3/4,0,3,0,3/4,3/4,1,False,False,False
3,5/6,3/4,1,0,2,3323/3456,17/24,3703/2304,False,False,False
3,5/6,3/4,1,1,1,277/288,107/144,479/288,False,False,False
3,5/6,3/4,1,2,0,23/24,7/9,65/48,False,False,False
3,5/6,3/4,2,0,1,1711/1728,37/48,3703/2304,False,False,False
3,5/6,3/4,2,1,0,143/144,29/36,877/576,False,False,False
3,5/6,3/4,3,0,0,215/216,5/6,419/288,True,True,True
3,5/6,5/6,0,0,3,2999/3456,17/24,419/288,False,False,False
3,5/6,5/6,0,1,2,743/864,3/4,419/288,False,False,False
3,5/6,5/6,0,2,1,61/72,19/24,31/24,False,False,False
3,5/6,5/6,0,3,0,5/6,5/6,1,False,False,False
3,5/6,5/6,1,0,2,1681/1728,3/4,1793/1152,False,False,False
3,5/6,5/6,1,1,1,421/432,19/24,223/144,False,False,False
3,5/6,5/6,1,2,0,35/36,5/6,31/24,False,False,False
3,5/6,5/6,2,0,1,857/864,19/24,1793/1152,False,False,False
3,5/6,5/6,2,1,0,215/216,5/6,419/288,True,False,True
